year,month,day,electiontype,office,num candidates,percent winner won with
2020,6,2,primary,County Committeeman CARNEGIE WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CARNEGIE WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CARNEGIE WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman CARNEGIE WARD 1 DIST 4,1,1.0
2020,6,2,primary,County Committeeman CARNEGIE WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CARNEGIE WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CARNEGIE WARD 2 DIST 3,1,1.0
2020,6,2,primary,County Committeeman CARNEGIE WARD 2 DIST 4,1,1.0
2020,6,2,primary,County Committeeman CASL SHANNON DIST 1,1,1.0
2020,6,2,primary,County Committeeman CASL SHANNON DIST 2,1,1.0
2020,6,2,primary,County Committeeman CASL SHANNON DIST 3,1,1.0
2020,6,2,primary,County Committeeman CASL SHANNON DIST 4,1,1.0
2020,6,2,primary,County Committeeman CASL SHANNON DIST 5,1,1.0
2020,6,2,primary,County Committeeman CASL SHANNON DIST 6,1,1.0
2020,6,2,primary,County Committeeman CASL SHANNON DIST 7,1,1.0
2020,6,2,primary,County Committeeman CASL SHANNON DIST 8,1,1.0
2020,6,2,primary,County Committeeman CHALFANT DIST 1,1,1.0
2020,6,2,primary,County Committeeman CHESWICK DIST 1,1,1.0
2020,6,2,primary,County Committeeman CHESWICK DIST 2,1,1.0
2020,6,2,primary,County Committeeman CHURCHILL DIST 1,1,1.0
2020,6,2,primary,County Committeeman CHURCHILL DIST 2,1,1.0
2020,6,2,primary,County Committeeman CHURCHILL DIST 3,1,1.0
2020,6,2,primary,County Committeeman CHURCHILL DIST 4,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 3 DIST 3,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CLAIRTON WARD 4 DIST 3,1,1.0
2020,6,2,primary,County Committeeman COLLIER DIST 1,1,1.0
2020,6,2,primary,County Committeeman COLLIER DIST 2,2,0.6228571428571429
2020,6,2,primary,County Committeeman COLLIER DIST 3,1,1.0
2020,6,2,primary,County Committeeman COLLIER DIST 4,1,1.0
2020,6,2,primary,County Committeeman COLLIER DIST 5,1,1.0
2020,6,2,primary,County Committeeman COLLIER DIST 6,1,1.0
2020,6,2,primary,County Committeeman CORAOPOLIS WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CORAOPOLIS WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CORAOPOLIS WARD 2,1,1.0
2020,6,2,primary,County Committeeman CORAOPOLIS WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CORAOPOLIS WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CORAOPOLIS WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CORAOPOLIS WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CRAFTON WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CRAFTON WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CRAFTON WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CRAFTON WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman CRAFTON WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman CRESCENT WARD 1,1,1.0
2020,6,2,primary,County Committeeman CRESCENT WARD 2,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 1,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 2,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 3,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 4,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 5,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 6,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 7,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 8,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 9,1,1.0
2020,6,2,primary,County Committeeman DORMONT DIST 10,1,1.0
2020,6,2,primary,County Committeeman DRAVOSBURG DIST 1,1,1.0
2020,6,2,primary,County Committeeman DRAVOSBURG DIST 2,1,1.0
2020,6,2,primary,County Committeeman DUQUESNE WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman DUQUESNE WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman DUQUESNE WARD 1 DIST 4,1,1.0
2020,6,2,primary,County Committeeman DUQUESNE WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman DUQUESNE WARD 2 DIST 3,1,1.0
2020,6,2,primary,County Committeeman DUQUESNE WARD 3 DIST 3,1,1.0
2020,6,2,primary,County Committeeman EAST DEER WARD 1,1,1.0
2020,6,2,primary,County Committeeman EAST DEER WARD 2,2,0.9838709677419355
2020,6,2,primary,County Committeeman E MCKEESPORT DIST 1,1,1.0
2020,6,2,primary,County Committeeman E MCKEESPORT DIST 2,1,1.0
2020,6,2,primary,County Committeeman E MCKEESPORT DIST 3,1,1.0
2020,6,2,primary,County Committeeman E PITTSBURGH WARD 1,1,1.0
2020,6,2,primary,County Committeeman E PITTSBURGH WARD 2,1,1.0
2020,6,2,primary,County Committeeman E PITTSBURGH WARD 3,1,1.0
2020,6,2,primary,County Committeeman EDGEWOOD DIST 1,2,0.98
2020,6,2,primary,County Committeeman EDGEWOOD DIST 2,1,1.0
2020,6,2,primary,County Committeeman EDGEWOOD DIST 3,1,1.0
2020,6,2,primary,County Committeeman EDGEWORTH DIST 1,1,1.0
2020,6,2,primary,County Committeeman EDGEWORTH DIST 2,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH BR,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 1 DIST 2,2,0.9606299212598425
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 2,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 3,2,0.988950276243094
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 5 DIST 1,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 5 DIST 2,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 6 DIST 1,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 6 DIST 2,1,1.0
2020,6,2,primary,County Committeeman ELIZABETH TP WARD 7,2,0.9790209790209791
2020,6,2,primary,County Committeeman EMSWORTH DIST 1,1,1.0
2020,6,2,primary,County Committeeman EMSWORTH DIST 2,1,1.0
2020,6,2,primary,County Committeeman ETNA WARD 1,1,1.0
2020,6,2,primary,County Committeeman ETNA WARD 2,1,1.0
2020,6,2,primary,County Committeeman ETNA WARD 3,1,1.0
2020,6,2,primary,County Committeeman FAWN DIST 1,1,1.0
2020,6,2,primary,County Committeeman FAWN DIST 2,1,1.0
2020,6,2,primary,County Committeeman FINDLAY DIST 1,2,0.9862385321100917
2020,6,2,primary,County Committeeman FINDLAY DIST 2,1,1.0
2020,6,2,primary,County Committeeman FINDLAY DIST 3,2,0.9891891891891892
2020,6,2,primary,County Committeeman FOREST HILLS DIST 1,1,1.0
2020,6,2,primary,County Committeeman FOREST HILLS DIST 2,1,1.0
2020,6,2,primary,County Committeeman FOREST HILLS DIST 3,1,1.0
2020,6,2,primary,County Committeeman FOREST HILLS DIST 4,1,1.0
2020,6,2,primary,County Committeeman FOREST HILLS DIST 5,1,1.0
2020,6,2,primary,County Committeeman FOREST HILLS DIST 6,1,1.0
2020,6,2,primary,County Committeeman FOREST HILLS DIST 7,1,1.0
2020,6,2,primary,County Committeeman FOREST HILLS DIST 8,1,1.0
2020,6,2,primary,County Committeeman FORWARD DIST 1,1,1.0
2020,6,2,primary,County Committeeman FORWARD DIST 2,1,1.0
2020,6,2,primary,County Committeeman FORWARD DIST 3,1,1.0
2020,6,2,primary,County Committeeman FORWARD DIST 4,1,1.0
2020,6,2,primary,County Committeeman FOX CHAPEL DIST 1,1,1.0
2020,6,2,primary,County Committeeman FOX CHAPEL DIST 2,1,1.0
2020,6,2,primary,County Committeeman FOX CHAPEL DIST 3,1,1.0
2020,6,2,primary,County Committeeman FOX CHAPEL DIST 4,1,1.0
2020,6,2,primary,County Committeeman FOX CHAPEL DIST 5,1,1.0
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 1 DIST 2,2,0.989247311827957
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 2 DIST 2,3,0.5333333333333333
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 2 DIST 3,2,0.995575221238938
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 3 DIST 1,2,0.9791666666666666
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman FRANKLIN PK WARD 3 DIST 3,1,1.0
2020,6,2,primary,County Committeeman FRAZER,1,1.0
2020,6,2,primary,County Committeeman GLASSPORT DIST 1,1,1.0
2020,6,2,primary,County Committeeman GLASSPORT DIST 2,1,1.0
2020,6,2,primary,County Committeeman GLASSPORT DIST 3,1,1.0
2020,6,2,primary,County Committeeman GLASSPORT DIST 4,1,1.0
2020,6,2,primary,County Committeeman GLASSPORT DIST 5,1,1.0
2020,6,2,primary,County Committeeman GLASSPORT DIST 6,1,1.0
2020,6,2,primary,County Committeeman GLENFIELD,1,1.0
2020,6,2,primary,County Committeeman GREEN TREE DIST 1,1,1.0
2020,6,2,primary,County Committeeman GREEN TREE DIST 2,1,1.0
2020,6,2,primary,County Committeeman GREEN TREE DIST 3,1,1.0
2020,6,2,primary,County Committeeman GREEN TREE DIST 4,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 1,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 2,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 3,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 4,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 5,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 6,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 7,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 8,2,0.9866666666666667
2020,6,2,primary,County Committeeman HAMPTON DIST 9,2,0.9891304347826086
2020,6,2,primary,County Committeeman HAMPTON DIST 10,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 11,2,0.9875518672199171
2020,6,2,primary,County Committeeman HAMPTON DIST 12,1,1.0
2020,6,2,primary,County Committeeman HAMPTON DIST 13,1,1.0
2020,6,2,primary,County Committeeman HARMAR DIST 1,1,1.0
2020,6,2,primary,County Committeeman HARMAR DIST 2,1,1.0
2020,6,2,primary,County Committeeman HARMAR DIST 3,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 2 DIST 2,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 4 DIST 2,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 5 DIST 1,1,1.0
2020,6,2,primary,County Committeeman HARRISON WARD 5 DIST 2,1,1.0
2020,6,2,primary,County Committeeman HAYSVILLE,1,1.0
2020,6,2,primary,County Committeeman HEIDELBERG,2,0.9736842105263158
2020,6,2,primary,County Committeeman HOMESTEAD WARD 1 DIST 1,1,1.0
2020,6,2,primary,County Committeeman HOMESTEAD WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman HOMESTEAD WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman INDIANA DIST 1,2,0.9917355371900827
2020,6,2,primary,County Committeeman INDIANA DIST 2,1,1.0
2020,6,2,primary,County Committeeman INDIANA DIST 3,1,1.0
2020,6,2,primary,County Committeeman INDIANA DIST 4,1,1.0
2020,6,2,primary,County Committeeman INDIANA DIST 5,1,1.0
2020,6,2,primary,County Committeeman INGRAM DIST 1,1,1.0
2020,6,2,primary,County Committeeman INGRAM DIST 2,1,1.0
2020,6,2,primary,County Committeeman INGRAM DIST 3,1,1.0
2020,6,2,primary,County Committeeman JEFFERSON HL DIST 1,1,1.0
2020,6,2,primary,County Committeeman JEFFERSON HL DIST 2,2,0.9879518072289156
2020,6,2,primary,County Committeeman JEFFERSON HL DIST 3,2,0.96
2020,6,2,primary,County Committeeman JEFFERSON HL DIST 4,1,1.0
2020,6,2,primary,County Committeeman JEFFERSON HL DIST 5,2,0.9789473684210527
2020,6,2,primary,County Committeeman JEFFERSON HL DIST 6,1,1.0
2020,6,2,primary,County Committeeman JEFFERSON HL DIST 8,1,1.0
2020,6,2,primary,County Committeeman KENNEDY DIST 1,1,1.0
2020,6,2,primary,County Committeeman KENNEDY DIST 2,2,0.9787234042553191
2020,6,2,primary,County Committeeman KENNEDY DIST 3,2,0.9772727272727273
2020,6,2,primary,County Committeeman KENNEDY DIST 4,1,1.0
2020,6,2,primary,County Committeeman KENNEDY DIST 5,1,1.0
2020,6,2,primary,County Committeeman KENNEDY DIST 6,1,1.0
2020,6,2,primary,County Committeeman KILBUCK,2,0.9887640449438202
2020,6,2,primary,County Committeeman LEET DIST 1,1,1.0
2020,6,2,primary,County Committeeman LEET DIST 2,2,0.9926470588235294
2020,6,2,primary,County Committeeman LEETSDALE,1,1.0
2020,6,2,primary,County Committeeman LIBERTY DIST 1,1,1.0
2020,6,2,primary,County Committeeman LIBERTY DIST 2,1,1.0
2020,6,2,primary,County Committeeman LINCOLN,1,1.0
2020,6,2,primary,County Committeeman MARSHALL DIST 1,2,0.9757575757575757
2020,6,2,primary,County Committeeman MARSHALL DIST 2,2,0.9866666666666667
2020,6,2,primary,County Committeeman MARSHALL DIST 3,2,0.9936305732484076
2020,6,2,primary,County Committeeman MARSHALL DIST 4,1,1.0
2020,6,2,primary,County Committeeman MARSHALL DIST 5,1,1.0
2020,6,2,primary,County Committeeman MARSHALL DIST 6,1,1.0
2020,6,2,primary,County Committeeman MARSHALL DIST 7,2,0.9878787878787879
2020,6,2,primary,County Committeeman MCCANDLESS WARD 1 DIST 1,2,0.9732620320855615
2020,6,2,primary,County Committeeman MCCANDLESS WARD 1 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 1 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 2 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 2 DIST 2,2,0.9937888198757764
2020,6,2,primary,County Committeeman MCCANDLESS WARD 2 DIST 3,2,0.9565217391304348
2020,6,2,primary,County Committeeman MCCANDLESS WARD 3 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 3 DIST 2,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 3 DIST 3,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 4 DIST 1,1,1.0
2020,6,2,primary,County Committeeman MCCANDLESS WARD 4 DIST 2,2,0.983739837398374
2020,6,2,primary,County Committeeman MCCANDLESS WARD 4 DIST 3,2,0.9932432432432432
2020,6,2,primary,County Committeeman MCCANDLESS WARD 5 DIST 1,2,0.9926470588235294
